category_id	category_title	category_subtitle	category_icon	item_id	item_name	item_desc	price	sold_out
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-plain	چای ساده	چای‌سیاه،نبات	60000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-green	چای سبز	چای‌سبز،نبات	60000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-sour	چای ترش	چای‌ترش،نبات	60000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-saffron	چای زعفران	چای‌سیاه،زعفران‌،نبات	75000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-cardamom-cinnamon	چای هل و دارچین	چای‌سیاه،هل‌و‌دارچین،نبات	85000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	tea-earl-grey	چای اولانگ	چای‌سیاه،چای‌سبز،نبات	95000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	herbal-orange-blossom	دمنوش بهارنارنج	چای‌سیاه،بهارنارنج،نبات	95000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	herbal-borage	دمنوش گل گاو زبان	گل‌گاو‌زبان،گل‌محمدی،نبات	95000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	herbal-health-nights	دمنوش شب های آرام	به‌خشک،سیب‌خشک،گل‌گاوزبان،نبات	100000	
herbal	چای و دمنوش	گرم و آرام‌بخش	herbal	herbal-health	دمنوش سلامت	به‌لیمو،چای‌ترش،نبات	100000	
smoothie	اسموتی	میوه‌ای و سرد	cold	smoothie-orange	اسموتی پرتغال	پرتقال،آب‌آناناس،آب‌انبه	180000	
smoothie	اسموتی	میوه‌ای و سرد	cold	smoothie-sour	اسموتی ترش	لیمو،نمک،کرن‌بری	180000	
smoothie	اسموتی	میوه‌ای و سرد	cold	smoothie-apple	اسموتی سیب	سیب،پیناکولادا‌،	180000	
smoothie	اسموتی	میوه‌ای و سرد	cold	smoothie-coastal	اسموتی ساحلی	موز،آب‌انبه،آب‌آناناس	220000	
dessert	کیک و دسر	همراه فنجان بعدی‌تان	dessert	cake-daily	کیک روز		150000	
dessert	کیک و دسر	همراه فنجان بعدی‌تان	dessert	cake-icecream	کیک و بستنی	یک تکه کیک،یک‌اسکوپ‌بستنی	240000	
dessert	کیک و دسر	همراه فنجان بعدی‌تان	dessert	icecream-triple	بستنی (سه اسکوپ)		250000	
dessert	کیک و دسر	همراه فنجان بعدی‌تان	dessert	milk-banana	شیر موز	بستنی،شیر،موز	200000	
dessert	کیک و دسر	همراه فنجان بعدی‌تان	dessert	milk-coconut	شیر نارگیل	بستنی،نارگیل،پودرنارگیل	220000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-vanilla	وانیل	بستنی،شیر	250000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-chocolate	شکلات	بستنی،شیر	250000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-strawberry	توت فرنگی	بستنی،شیر	250000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-banana-walnut	موز گردو	بستنی،موز،گردو،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-nutella	نوتلا	بستنی،نوتلا،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-baklava	باقلوا	بستنی،باقلوا،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-banana-nutella	موز نوتلا	بستنی،موز،نوتلا،شیر	320000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-banana-chocolate	موز شکلات	بستنی‌شکلاتی،موز،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-tiramisu	تیرامیسو	بستنی،لیدی‌فینگر،قهوه،وانیل،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-chocolate-hazelnut	شکلات فندق	بستنی،فندق،شیر	290000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-coffee	قهوه	بستنی،اسپرسو،شیر	250000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-strawberry-nutella	توت فرنگی نوتلا	بستنی‌توت‌فرنگی،نوتلا،شیر	320000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-peanut	بادام زمینی	بستنی،بادام‌زمینی،کره‌بادام‌زمینی	280000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-nutella-peanut	نوتلا بادام زمینی	بستنی،بادام‌زمینی،نوتلا	320000	
shake	شیک	خامه‌ای و خوشمزه	cold	shake-lotus	لوتوس	بستنی،بیسکوییت‌لوتوس،کره‌لوتوس	320000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-redbull	ردبلو	بلوکارسائو،کرن‌بری،آلوورا	200000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-lotus	لوتوس	آبلیمو،نمک،کرن‌بری	200000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-mai-tai	مای تای	آبلیمو،موهیتو،بلوکارسائو	210000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-pink-berry	پینک بری	آبلمیو،آب‌انبه،پیناکولادا	210000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-mojito	موهیتو	آبلیمو،نعنا،سودا	200000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-lemonade	لیموناد	آبلیمو،شربت،لیمو،سودا	190000	
mocktail	موکتل	تازه و رنگی	cold	mocktail-hype-cool	هایپ کول	آبلیمو،هایپ،بلوکارسائو	250000	
coffee-hot	نوشیدنی گرم بر پایه قهوه	دم‌آوری تازه، هر فنجان	coffee	espresso-single	سینگل		80000	
